"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 29 16:22:02 GMT 2024","Fri Nov 29 16:22:34 GMT 2024","31862","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Fri Nov 29 16:22:36 GMT 2024","Fri Nov 29 16:22:38 GMT 2024","1183","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Fri Nov 29 16:22:34 GMT 2024","Fri Nov 29 16:22:36 GMT 2024","1781","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Fri Nov 29 16:22:02 GMT 2024","Fri Nov 29 16:22:34 GMT 2024","32110","","Customer Login to Fashion Hub","","Verify customer cannot log in with invalid credentials","","Verify customer cannot log in with invalid credentials",""
"passed","Fri Nov 29 16:22:02 GMT 2024","Fri Nov 29 16:22:36 GMT 2024","34249","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Fri Nov 29 16:22:02 GMT 2024","Fri Nov 29 16:22:35 GMT 2024","32892","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Fri Nov 29 16:22:34 GMT 2024","Fri Nov 29 16:22:36 GMT 2024","2158","","Customer Login to Fashion Hub","","Verify customer is logged in successfully with valid credentials","","Verify customer is logged in successfully with valid credentials",""
"passed","Fri Nov 29 16:22:34 GMT 2024","Fri Nov 29 16:22:44 GMT 2024","10467","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Fri Nov 29 16:22:35 GMT 2024","Fri Nov 29 16:22:37 GMT 2024","1939","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Fri Nov 29 16:22:36 GMT 2024","Fri Nov 29 16:22:38 GMT 2024","1444","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
