"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 29 14:35:40 GMT 2024","Tue Oct 29 14:35:42 GMT 2024","1794","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 14:35:13 GMT 2024","Tue Oct 29 14:35:41 GMT 2024","27995","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Tue Oct 29 14:35:40 GMT 2024","Tue Oct 29 14:35:51 GMT 2024","10797","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Tue Oct 29 14:35:41 GMT 2024","Tue Oct 29 14:35:43 GMT 2024","1852","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Tue Oct 29 14:35:41 GMT 2024","Tue Oct 29 14:35:43 GMT 2024","2280","","Customer Login to Fashion Hub","","Verify customer is logged in successfully with valid credentials","","Verify customer is logged in successfully with valid credentials",""
"passed","Tue Oct 29 14:35:13 GMT 2024","Tue Oct 29 14:35:41 GMT 2024","27259","","Customer Login to Fashion Hub","","Verify customer cannot log in with invalid credentials","","Verify customer cannot log in with invalid credentials",""
"passed","Tue Oct 29 14:35:13 GMT 2024","Tue Oct 29 14:35:43 GMT 2024","29395","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"failed","Tue Oct 29 14:35:13 GMT 2024","Tue Oct 29 14:35:40 GMT 2024","26780","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 14:35:42 GMT 2024","Tue Oct 29 14:35:44 GMT 2024","1607","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Tue Oct 29 14:35:43 GMT 2024","Tue Oct 29 14:35:44 GMT 2024","1160","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
