"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 27 21:43:24 GMT 2024","Sun Oct 27 21:43:39 GMT 2024","15102","","Customer Login to Fashion Hub","","Verify customer cannot log in with invalid credentials","","Verify customer cannot log in with invalid credentials",""
"passed","Sun Oct 27 21:43:39 GMT 2024","Sun Oct 27 21:43:42 GMT 2024","2215","","Customer Login to Fashion Hub","","Verify customer is logged in successfully with valid credentials","","Verify customer is logged in successfully with valid credentials",""
"failed","Sun Oct 27 21:43:24 GMT 2024","Sun Oct 27 21:43:39 GMT 2024","14750","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:43:39 GMT 2024","Sun Oct 27 21:43:41 GMT 2024","1863","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:43:40 GMT 2024","Sun Oct 27 21:43:42 GMT 2024","1671","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Sun Oct 27 21:43:24 GMT 2024","Sun Oct 27 21:43:42 GMT 2024","17389","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
"passed","Sun Oct 27 21:43:42 GMT 2024","Sun Oct 27 21:43:43 GMT 2024","1089","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:43:41 GMT 2024","Sun Oct 27 21:43:43 GMT 2024","1339","","Console Error Check on Fashion Hub","","Verify no console errors when visiting Home page","","Verify no console errors when visiting Home page",""
"passed","Sun Oct 27 21:43:24 GMT 2024","Sun Oct 27 21:43:40 GMT 2024","16001","","Status code validation for links on Fashion Hub","","Verify all links return valid status codes","","Verify all links return valid status codes",""
"passed","Sun Oct 27 21:43:39 GMT 2024","Sun Oct 27 21:43:49 GMT 2024","9537","","Retrieve Open Pull Requests","","Export a list of open pull requests to CSV format","","Export a list of open pull requests to CSV format",""
