"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Customer Login to Fashion Hub","Verify customer is logged in successfully with valid credentials","0","0","1","0","0"
"","Console Error Check on Fashion Hub","Verify no console errors when visiting Home page","1","0","3","0","0"
"","Customer Login to Fashion Hub","Verify customer cannot log in with invalid credentials","0","0","1","0","0"
"","Retrieve Open Pull Requests","Export a list of open pull requests to CSV format","0","0","2","0","0"
"","Status code validation for links on Fashion Hub","Verify all links return valid status codes","0","0","2","0","0"
